"amazon link","i.s.b.n.","theatrical debut","title"
"B00005JNM3","0788867644","2005-01-01 02:00:00 +1300","Proof"
"B002QEHPQU","","2009-01-01 02:00:00 +1300","Public Enemies"
"1558908242","1558908242","1994-10-14 03:00:00 +1300","Pulp Fiction"
"B000I0RNYI","","2006-08-11 02:00:00 +1200","Pulse"
"B00000G02H","1404936076","2002-11-01 02:00:00 +1300","Punch-Drunk Love"
"B001PPLIEG","","2008-01-01 02:00:00 +1300","Quantum of Solace"
"B00000IPG9","","1999-03-20 02:00:00 +1300","Radiohead - Meeting People Is Easy"
"B00062IVKS","0792863321","1980-12-19 02:00:00 +1300","Raging Bull"
"B001V67RU8","","","Rain Man : Widescreen Edition"
"6305499128","6305499128","1987-03-13 01:00:00 +1200","Raising Arizona"
"B0001HK21Y","","2002-10-04 02:00:00 +1200","Red Dragon"
"B000BVM1S2","1417065869","2005-08-19 02:00:00 +1200","Red Eye"
"B000Q7ZKX4","","2006-01-01 02:00:00 +1300","Red Road"
"B00176JX4U","","","Rejected: A Film By Don Hertzfeldt"
"B00102F5WK","","2007-01-01 02:00:00 +1300","Rendition"
"B00005Q4CS","","2000-10-27 02:00:00 +1300","Requiem for a Dream"
"B000HC2LEY","","1992-10-23 03:00:00 +1300","Reservoir Dogs"
"B0002KQOH6","","2003-01-01 02:00:00 +1300","The Return"
"B0011VIO3M","","2005-01-01 02:00:00 +1300","Revolver"
"B001EDG2AO","","","Rhys Darby - Imagine That!"
"B000NQDE0Y","","2007-01-01 02:00:00 +1300","Ricky Gervais - Fame"
"B000QQH4YS","","1987-07-17 02:00:00 +1200","Robocop"
"B000W668R6","","1976-01-01 02:00:00 +1300","Rocky"
"B00004U8P9","","1975-09-26 02:00:00 +1200","The Rocky Horror Picture Show"
"B00009YXAS","0790780232","1989-12-20 02:00:00 +1300","Roger & Me"
"B001MEJVKI","","","Rogue Assassin"
"6305263248","6305263248","1998-09-25 02:00:00 +1200","Ronin"
"B0000640VJ","","2001-12-14 02:00:00 +1300","The Royal Tenenbaums"
"B00007L4KI","1588176940","2002-10-11 03:00:00 +1300","The Rules of Attraction"
"B000021Y77","076783738X","1999-06-18 02:00:00 +1200","Run Lola Run"
"B00009ZPU7","0780644174","2002-01-01 02:00:00 +1300","Run Ronnie Run!"
"B00006L92T","0792854055","1992-01-17 02:00:00 +1300","Rush"
"6305428239","0788816144","1999-02-05 02:00:00 +1300","Rushmore"
"","","","Samson and Delilah"
"B0014GI6I2","","2007-01-01 02:00:00 +1300","The Savages"
"B0002OXRSG","0792861930","2003-01-01 02:00:00 +1300","Saved!"
"B00001ZWUS","0783233531","1998-07-24 02:00:00 +1200","Saving Private Ryan"
"B00012QM8G","","1993-12-15 02:00:00 +1300","Schindler's List"
"B000PMGS22","","2006-01-01 02:00:00 +1300","The Science Of Sleep"
"B000M4RG7E","","2006-09-22 02:00:00 +1200","The Science of Sleep"
"B000NOKFH6","","2001-10-02 02:00:00 +1200","Scrubs - The Complete Fifth Season"
"B00005JNEQ","0788858254","2001-10-02 02:00:00 +1200","Scrubs - The Complete First Season"
"B000GPIPTM","","2001-10-02 02:00:00 +1200","Scrubs - The Complete Fourth Season"
"B000AJJNI6","0788859153","2001-10-02 02:00:00 +1200","Scrubs - The Complete Second Season"
"B000U1ZV1W","","2001-10-02 02:00:00 +1200","Scrubs - The Complete Sixth Season"
"B000EBGFPY","","2001-10-02 02:00:00 +1200","Scrubs - The Complete Third Season"
"B001DPHDBU","","2008-10-02 03:00:00 +1300","Scrubs: The Complete Seventh Season"
"B00004TVXC","","1995-09-22 02:00:00 +1200","Se7en"
"B0002234LS","1404950249","2004-03-12 02:00:00 +1300","Secret Window"
"B000777UEK","","2002-01-01 02:00:00 +1300","Secretary"
"B0006HBZD8","","1996-10-25 03:00:00 +1300","Secrets and Lies"
"B0016MOV92","","2008-01-01 02:00:00 +1300","Semi-Pro"
"","","","A Serious Man"
"B003102JDM","","2009-01-01 00:00:00 +1300","A Serious Man"
"B000VWUIY0","","","Seven Periods with Mr Gormsby"
"B001QE9W1W","","","Seven Periods with Mr Gormsby - Series 2"
"B000G8NXYG","","1954-01-01 02:00:00 +1200","Seven Samurai - 3 Disc Remastered Edition"
"B00022EFGQ","","","Sex Lives of the Potato Men"
"B000WCN8Q4","","2007-01-01 02:00:00 +1300","Sex and Breakfast"
"B0006A9FKA","141701816X","2004-01-01 02:00:00 +1300","Shaun of the Dead"
"B000P0J0EW","","1994-09-23 02:00:00 +1200","The Shawshank Redemption"
"0780619587","0780619587","1996-11-20 02:00:00 +1300","Shine"
"B000UJCALI","","1980-05-23 02:00:00 +1200","The Shining"
"B002HKYAAW","","2009-01-01 02:00:00 +1300","Shinjuku Incident (Special Double Disc) DVD Edition"
"B000LAZDQA","","2006-01-01 02:00:00 +1300","Shortbus"
"B0007TKOAA","","2005-01-21 02:00:00 +1300","Sideways"
"B00026L7OK","079286140X","1991-02-14 02:00:00 +1300","The Silence of the Lambs"
"B002C8YSDI","","2007-01-01 02:00:00 +1300","Silent Light"
"B000FO0AME","","1996-01-01 02:00:00 +1300","The Simpsons - The Complete Eighth Season"
"B001GQ3GHG","","","The Simpsons - The Complete Eleventh Season"
"B00020SLO0","","1993-01-01 02:00:00 +1300","The Simpsons - The Complete Fifth Season"
"B00005ML6Y","","1989-12-17 02:00:00 +1300","The Simpsons - The Complete First Season"
"B0001Z3IPS","","1992-01-01 02:00:00 +1300","The Simpsons - The Complete Fourth Season"
"B000JLQPTK","","1997-01-01 02:00:00 +1300","The Simpsons - The Complete Ninth Season"
"B000063EME","","1990-01-01 02:00:00 +1300","The Simpsons - The Complete Second Season"
"B000BQPC42","","1995-01-01 02:00:00 +1300","The Simpsons - The Complete Seventh Season"
"B0009NZ2VU","","1994-01-01 02:00:00 +1300","The Simpsons - The Complete Sixth Season"
"B000MQCFLO","","1998-01-01 02:00:00 +1300","The Simpsons - The Complete Tenth Season"
"B000067DNE","","1991-01-01 02:00:00 +1300","The Simpsons - The Complete Third Season"
"B000WGYMGK","","2007-07-27 02:00:00 +1200","The Simpsons Movie"
"B000CCR4MI","","","Simpsons-Classics: Greatest Hits"
"B001L1S1PI","","","The Simpsons: Season 20"
"B0024FAR52","","","The Simpsons: The Complete Twelfth Season"
"B00005JNTX","078886047X","2005-04-01 02:00:00 +1200","Sin City"
"B001ASQ9OM","","2005-01-01 02:00:00 +1300","The Sisterhood of the Traveling Pants"
"B001AEF6BS","","1984-01-01 02:00:00 +1300","Sixteen Candles"
"B001P9KR8U","","2008-01-01 02:00:00 +1300","Slumdog Millionaire"
"B00005RFBA","","2001-11-20 02:00:00 +1300","Smashing Pumpkins - Greatest Hits Video Collection"
"B000093FLA","1404938591","2001-01-19 02:00:00 +1300","Snatch"
"B000BO7DWI","","2006-03-12 02:00:00 +1300","The Sopranos - Season 6, Part 1"
"B000NA1VI2","","2007-04-01 02:00:00 +1200","The Sopranos - Season 6, Part 2"
"B0007YMVWO","0783129513","2004-01-10 02:00:00 +1300","The Sopranos - The Complete Fifth Season"
"B00008PW1F","0783123795","2002-01-10 02:00:00 +1300","The Sopranos - The Complete Fourth Season"
"B00003CXOP","0783118015","1999-01-01 02:00:00 +1300","The Sopranos: The Complete First Season"
"B00005NOHO","0783119364","2000-01-10 02:00:00 +1300","The Sopranos: The Complete Second Season"
"B000067S1G","0783119836","2001-01-10 02:00:00 +1300","The Sopranos: The Complete Third Season"
"B000022TSW","0792159519","1999-06-30 02:00:00 +1200","South Park - Bigger, Longer & Uncut"
"B000FSME2Y","","1997-08-13 02:00:00 +1200","South Park - The Complete Eighth Season"
"B0006Z2L2Y","","1997-08-13 02:00:00 +1200","South Park - The Complete Fifth Season"
"B00023P49C","1415703469","1997-08-13 02:00:00 +1200","South Park - The Complete First Season"
"B0001ZWLVU","1415700605","1997-08-13 02:00:00 +1200","South Park - The Complete Fourth Season"
"B000KLQUMQ","","1997-08-13 02:00:00 +1200","South Park - The Complete Ninth Season"
"B00023P49M","1415703485","1997-08-13 02:00:00 +1200","South Park - The Complete Second Season"
"B000CNESM6","","1997-08-13 02:00:00 +1200","South Park - The Complete Seventh Season"
"B000ADWCYY","1415714789","1997-08-13 02:00:00 +1200","South Park - The Complete Sixth Season"
"B000R7I3XC","","1997-08-13 02:00:00 +1200","South Park - The Complete Tenth Season"
"B0000CABL2","079219649X","1997-08-13 02:00:00 +1200","South Park - The Complete Third Season"
"B0018O5WUU","","","South Park: The Complete Eleventh Season"
"B001O0TWXG","","2008-01-01 02:00:00 +1300","South Park: The Complete Twelfth Season"
"0783226039","0783226039","1960-10-07 02:00:00 +1200","Spartacus"
"B00005JLEU","078884461X","2001-01-01 02:00:00 +1300","Spirited Away"
"B0002OHZPC","","2003-01-01 02:00:00 +1300","Spring, Summer, Autumn, Winter And Spring"
"B002HWRYJE","","2009-01-01 02:00:00 +1300","Star Trek"
"B000FQJAJG","","1980-05-21 02:00:00 +1200","Star Wars Episode V - The Empire Strikes Back"
"B0006VIE4C","","1977-05-25 02:00:00 +1200","Star Wars, Episode IV- A New Hope"
"B00076SCPW","","1983-05-25 02:00:00 +1200","Star Wars, Episode VI- Return of the Jedi"
"B0001WTWDI","","2003-01-01 02:00:00 +1300","The Station Agent"
"B0025G5IN6","","","Stephen Fry in America"
"B00007KFOF","","1950-08-04 02:00:00 +1200","Sunset Boulevard"
"B000Y7U98C","","2007-01-01 02:00:00 +1300","Sunshine"
"B001UV4XGU","","2008-01-01 02:00:00 +1300","Sunshine Cleaning"
"B0002OXVBO","","2003-01-01 02:00:00 +1300","Super Size Me"
"B00005JKMN","","2001-01-01 02:00:00 +1300","Super Troopers"
"B000B5XP5Q","","","The Surreal Life - The Complete Fifth Season"
"","","","The Surreal Life Season 6"
"B002UZCJ8Y","","2009-01-01 00:00:00 +1300","Surrogates"
"0780622251","0780622251","1997-11-21 02:00:00 +1300","The Sweet Hereafter"
"B001CCY44S","","1981-01-01 02:00:00 +1300","Sweet Sixteen - Director's Cut"
"B001P3SA8K","","2008-01-01 02:00:00 +1300","Synecdoche New York"
"B0002CHIKG","0790765268","1971-03-11 02:00:00 +1200","THX 1138 - The Director's Cut"
"B001TODCII","","2008-01-01 02:00:00 +1300","Taken"
"B00005JLQW","0767892992","2002-01-01 02:00:00 +1300","Talk to Her"
"B0007Y8ABK","0794205666","2003-01-01 02:00:00 +1300","Tarnation"
"B00005JN4H","","2004-10-08 03:00:00 +1300","Taxi"
"B000R8YC18","","1976-02-08 02:00:00 +1300","Taxi Driver"
"B0007Y08I8","1415708436","2004-10-15 03:00:00 +1300","Team America - World Police"
"B001FB55HQ","","2009-01-01 02:00:00 +1300","Terminator Salvation"
"B000H0MKOC","","2006-04-14 02:00:00 +1200","Thank You for Smoking"
"B000MR99ZS","","2007-01-01 02:00:00 +1300","That Mitchell & Webb Look - Series 1"
"B0016A1CF0","","2008-01-01 02:00:00 +1300","That Mitchell And Webb Look - Series 2"
"B002AG2NTI","","2008-01-01 02:00:00 +1300","The Class"
"B00104QSOC","","2007-12-25 02:00:00 +1300","The Diving Bell and the Butterfly"
"6302020816","6302020816","2004-01-01 02:00:00 +1300","The Edukators"
"B000OVLBGC","","2006-01-01 02:00:00 +1300","The Lives of Others"
"B0001JXP16","1567303455","2002-01-01 02:00:00 +1300","The Son"
"B00007BKVC","0792854810","1991-05-24 02:00:00 +1200","Thelma & Louise"
"B0013FXWU6","","2008-04-08 02:00:00 +1200","There Will Be Blood"
"B0006GANPA","","1998-07-15 02:00:00 +1200","There's Something About Mary"
"6305922756","6305922756","1984-03-02 02:00:00 +1300","This Is Spinal Tap"
"B0002MFFG0","1567303668","2002-01-01 02:00:00 +1300","To Be and to Have"
"B000ZM1MG4","","1982-01-01 02:00:00 +1300","Tootsie - 25th Anniversary Edition"
"B0002WZTOI","0792190904","1986-05-16 02:00:00 +1200","Top Gun"
"630589423X","630589423X","2000-01-14 02:00:00 +1300","Topsy-Turvy"
"B000R2GHLC","","","Toy Love"
"B000270RCW","","","Trailer Park Boys - Big Plans Little Brains - 1st and 2nd Seasons"
"B0012EBVAG","","2008-01-01 02:00:00 +1300","Trailer Park Boys - The Movie"
"B000C21G7W","","","Trailer Park Boys - Xmas Special (Boxset) w/Conky Finger Puppet (OUT OF PRINT) - Collectors Edition"
"","","","Trailer Park Boys Say Goodnight To The Bad Guys"
"B0001I9Y8U","","2004-04-20 02:00:00 +1200","Trailer Park Boys: Season 3"
"B000EMI6LE","","2004-04-20 02:00:00 +1200","Trailer Park Boys: Season 5"
"B000NO23YE","","2007-01-01 02:00:00 +1300","Trailer Park Boys: Season 6"
"B0007RO8MW","","2004-04-20 02:00:00 +1200","Trailer Park Boys: The Complete Fourth Season"
"6304806442","6304806442","1996-07-19 02:00:00 +1200","Trainspotting"
"B000ETRCMQ","","2005-01-01 02:00:00 +1300","Transamerica"
"B002IPFWTE","","2009-01-01 02:00:00 +1300","Transformers: Revenge of the Fallen"
"B00008AOVL","","2002-10-11 03:00:00 +1300","The Transporter"
"B0002JC6TW","","2004-01-01 02:00:00 +1300","Trouble Every Day"
"B001FB4W0W","","2009-01-01 02:00:00 +1300","True Blood: The Complete First Season"
"B00280LZAE","","","True Blood: The Complete Second Season"
"B00006FDCF","0790769522","1993-09-10 02:00:00 +1200","True Romance - Director's Cut"
"B000P12LWY","","2007-01-01 02:00:00 +1300","The Tudors - The Complete First Season"
"B001EO748M","","2008-01-01 02:00:00 +1300","The Tudors - The Complete Second Season"
"B000A7LR82","0792867416","2004-01-01 02:00:00 +1300","Turtles Can Fly"
"B0000VD02Y","","2003-09-26 02:00:00 +1200","Under the Tuscan Sun"
"B001KVZ6FW","","2009-01-01 02:00:00 +1300","Up"
"B00337KM2S","","2009-01-01 00:00:00 +1300","Up in the Air"
"B00005V9HH","0792852192","1995-08-16 02:00:00 +1200","The Usual Suspects"
"B001DJ7PR8","","2008-01-01 02:00:00 +1300","Vicky Cristina Barcelona"
"B000BITUY8","","","Viva la Bam: Complete Seasons 4 & 5"
"","","","Voltron Vehicle Force Collection 1"
"B000N3T0DW","","2007-01-26 02:00:00 +1300","Volver"
"B001J9KJ48","","2008-01-01 02:00:00 +1300","The Wackness"
"B00005LC5D","0780633423","1997-01-31 02:00:00 +1300","Waiting for Guffman"
"B00000ILEC","","1998-11-20 02:00:00 +1300","Waking Ned Devine"
"B0013FSL3E","","2008-06-27 02:00:00 +1200","Wall-E"
"B001KVZ6AM","","2008-01-01 02:00:00 +1300","Waltz With Bashir"
"B000A6T1JU","","1979-02-09 02:00:00 +1300","The Warriors"
"B001QTXM5Y","","2009-01-01 02:00:00 +1300","Watchmen: The Director's Cut"
"B00005QJHP","","2000-09-08 01:00:00 +1200","The Way of the Gun"
"B0007989SO","0780029771","2000-01-01 02:00:00 +1300","Waydowntown"
"B000ZS8GWQ","","2007-01-01 02:00:00 +1300","We Own the Night"
"B000CSUNQQ","","2005-10-28 03:00:00 +1300","The Weather Man"
"B001AQBGM4","","","Weeds - Season Four"
"B000FFJYE8","","2005-08-07 02:00:00 +1200","Weeds - Season One"
"B00166UFSY","","2008-08-07 02:00:00 +1200","Weeds - Season Three"
"B000Q6GUKW","","2005-08-07 02:00:00 +1200","Weeds - Season Two"
"B002AMVED8","","2009-06-08 02:00:00 +1200","Weeds: Season Five"
"B00006AUIH","0783273657","2001-01-01 02:00:00 +1300","Wet Hot American Summer"
"B00007GZR5","0783277547","1998-10-02 02:00:00 +1200","What Dreams May Come"
"B001FB55XA","","2008-01-01 02:00:00 +1300","What Just Happened?"
"B000J10F14","","2006-08-16 02:00:00 +1200","When the Levees Broke - A Requiem In Four Acts"
"B00003ETIT","","1980-04-25 02:00:00 +1200","Where the Buffalo Roam"
"B001HN699A","","2009-10-16 00:00:00 +1300","Where the Wild Things Are"
"B000BI5KUQ","1404917535","2001-01-01 02:00:00 +1300","Winged Migration"
"B00123BY6S","","2008-01-01 02:00:00 +1300","The Wire - The Complete Fifth Season"
"B0002ERXC2","0783127928","2002-06-02 02:00:00 +1200","The Wire - The Complete First Season"
"B000QXDJLI","","2005-01-01 02:00:00 +1300","The Wire - The Complete Fourth Season"
"B0006IUD9Y","0783130260","2003-06-02 02:00:00 +1200","The Wire - The Complete Second Season"
"B000FTCLSU","","2004-06-02 02:00:00 +1200","The Wire - The Complete Third Season"
"B0006FO8HA","0792197925","2004-08-20 02:00:00 +1200","Without A Paddle"
"B001TOD92C","","2008-01-01 02:00:00 +1300","The Wrestler"
"B001GCUO1Q","","2009-01-01 02:00:00 +1300","X-Men Origins: Wolverine"
"B00005JL57","0792852966","2001-01-01 02:00:00 +1300","Y Tu Mama Tambien"
"B002KLAL88","","2009-01-01 02:00:00 +1300","Year One"
"B002EWD0CW","","2009-01-01 02:00:00 +1300","Yellowstone: Battle for Life"
"B001SN78JO","","2008-01-01 02:00:00 +1300","Yes Man"
"B000FILVOG","","2000-01-01 02:00:00 +1300","Yi Yi - Criterion Collection"
"B00003CXQ4","0792172582","2000-01-01 02:00:00 +1300","You Can Count on Me"
"B0014FAIZC","","2007-01-01 02:00:00 +1300","Youth Without Youth"
"B001MEJYAU","","2008-01-01 02:00:00 +1300","Zack and Miri Make a Porno"
"B000059HAE","","1974-02-06 01:00:00 +1200","Zardoz"
"B000QUCNP4","","2007-03-02 02:00:00 +1300","Zodiac"
"B002WY65VU","","2009-01-01 00:00:00 +1300","Zombieland"
"B000E8RGLE","","","Zookeeper"
"0767812158","0767812158","1989-08-18 02:00:00 +1200","sex, lies, and videotape"
